,merchant_code,price,stock,daily_gmv,daily_sold,daily_view,rating,total_review,total_sold
12163,2748.0,3699000.0,1731.0,0.0,0.0,6.0,100.0,35.0,90.0
12164,2751.0,3100000.0,999999.0,0.0,0.0,2.0,100.0,2.0,3.0
12165,2752.0,1500000.0,999999.0,0.0,0.0,2.0,100.0,3.0,5.0
12166,2751.0,3100000.0,999999.0,0.0,0.0,1.0,100.0,2.0,3.0
12167,2753.0,5000000.0,9.0,0.0,0.0,4.0,100.0,10.0,95.0
12168,2754.0,7000000.0,999993.0,7000000.0,1.0,10.0,100.0,5.0,11.0
12169,2717.0,3850000.0,9985.0,0.0,0.0,1.0,100.0,6.0,15.0
12170,2753.0,5000000.0,9.0,0.0,0.0,3.0,100.0,10.0,95.0
12171,2755.0,11150000.0,9.0,0.0,0.0,0.0,100.0,6.0,7.0
12172,2752.0,1500000.0,999999.0,0.0,0.0,2.0,100.0,3.0,5.0
12173,2751.0,3100000.0,999999.0,0.0,0.0,0.0,100.0,2.0,3.0
12174,2756.0,2400000.0,999998.0,0.0,0.0,1.0,100.0,9.0,15.0
12175,2717.0,3850000.0,9985.0,0.0,0.0,4.0,100.0,6.0,15.0
12176,2753.0,5000000.0,9.0,0.0,0.0,2.0,100.0,10.0,95.0
12177,2707.0,3500000.0,999973.0,0.0,0.0,12.0,100.0,6.0,58.0
12178,2707.0,3500000.0,999973.0,0.0,0.0,0.0,100.0,6.0,58.0
12179,1302.0,1750000.0,999998.0,0.0,0.0,1.0,100.0,21.0,22.0
12180,1302.0,1750000.0,999998.0,0.0,0.0,5.0,100.0,21.0,22.0
12181,1302.0,1750000.0,999998.0,0.0,0.0,3.0,100.0,21.0,22.0
12182,1302.0,1750000.0,999998.0,0.0,0.0,7.0,100.0,21.0,25.0
12183,1315.0,1375000.0,34.0,0.0,0.0,88.0,98.0,38.0,54.0
12184,1314.0,1850000.0,999999.0,0.0,0.0,4.0,97.0,125.0,206.0
12185,1315.0,1375000.0,41.0,0.0,0.0,78.0,98.0,35.0,50.0
12186,1054.0,1699000.0,1.0,0.0,0.0,15.0,98.0,50.0,99.0
12187,1194.0,3050000.0,4.0,0.0,0.0,2.0,98.0,43.0,69.0
12188,2479.0,5000000.0,999964.0,0.0,0.0,5.0,100.0,35.0,91.0
12189,2536.0,4300000.0,999983.0,0.0,0.0,1.0,100.0,21.0,43.0
12190,2363.0,4950000.0,2.0,0.0,0.0,1.0,100.0,19.0,30.0
12191,2511.0,5000000.0,999980.0,0.0,0.0,14.0,96.0,31.0,41.0
12192,1023.0,4400000.0,999999.0,0.0,0.0,2.0,100.0,62.0,74.0
12193,1019.0,4989000.0,999900.0,0.0,0.0,1.0,100.0,51.0,101.0
12194,1249.0,4900000.0,999992.0,0.0,0.0,2.0,100.0,18.0,21.0
12195,1329.0,4972000.0,999999.0,0.0,0.0,1.0,100.0,40.0,40.0
12196,1840.0,4250000.0,9.0,0.0,0.0,2.0,100.0,6.0,33.0
12197,2536.0,4300000.0,999983.0,0.0,0.0,2.0,100.0,21.0,43.0
12198,1021.0,2999000.0,9991.0,0.0,0.0,48.0,100.0,4.0,16.0
12199,875.0,3449000.0,9989.0,0.0,0.0,171.0,95.0,305.0,664.0
12200,1106.0,4988000.0,32.0,0.0,0.0,1.0,100.0,19.0,19.0
12201,1019.0,4989000.0,999900.0,0.0,0.0,4.0,100.0,51.0,101.0
12202,876.0,3399000.0,45.0,0.0,0.0,4.0,99.0,41.0,78.0
12203,2511.0,5000000.0,999980.0,0.0,0.0,14.0,96.0,31.0,41.0
12204,1187.0,5000000.0,999971.0,0.0,0.0,4.0,100.0,30.0,101.0
12205,2757.0,4599000.0,2.0,0.0,0.0,1.0,100.0,23.0,36.0
12206,911.0,3550000.0,1.0,0.0,0.0,0.0,98.0,57.0,113.0
12207,2758.0,4599000.0,999974.0,0.0,0.0,0.0,100.0,13.0,25.0
12208,1011.0,4988500.0,9951.0,0.0,0.0,1.0,100.0,34.0,49.0
12209,2759.0,5100000.0,999961.0,0.0,0.0,2.0,100.0,22.0,67.0
12210,28.0,3349000.0,99997.0,0.0,0.0,43.0,98.0,86.0,143.0
12211,1249.0,4900000.0,999992.0,0.0,0.0,2.0,100.0,18.0,21.0
12212,1187.0,7000000.0,999982.0,0.0,0.0,4.0,100.0,23.0,46.0
12213,2760.0,5200000.0,999989.0,0.0,0.0,3.0,100.0,20.0,30.0
12214,875.0,3449000.0,9991.0,0.0,0.0,104.0,95.0,304.0,662.0
12215,2761.0,5000000.0,999984.0,0.0,0.0,1.0,100.0,27.0,38.0
12216,57.0,4199000.0,999999.0,0.0,0.0,1.0,100.0,28.0,39.0
12217,1187.0,6500000.0,999965.0,0.0,0.0,13.0,100.0,27.0,63.0
12218,1225.0,4599000.0,999941.0,0.0,0.0,1.0,100.0,12.0,72.0
